"Date";"Value";"Country"
1972-12-31;1202.7;"UAE"
1971-12-31;1059.5;"UAE"
1970-12-31;779.6;"UAE"
1969-12-31;627.8;"UAE"
1968-12-31;496.6;"UAE"
1967-12-31;382.1;"UAE"
1966-12-31;360;"UAE"
1965-12-31;282.2;"UAE"
2018-12-31;12286.8401672;"Saudi Arabia"
2017-12-31;11892.1982617;"Saudi Arabia"
2016-12-31;12406.0476077;"Saudi Arabia"
2015-12-31;11997.9379844;"Saudi Arabia"
2014-12-31;11518.8227243;"Saudi Arabia"
2013-12-31;11392.9266347;"Saudi Arabia"
2012-12-31;11621.794283;"Saudi Arabia"
2011-12-31;11079.2287862;"Saudi Arabia"
2010-12-31;9864.82675685;"Saudi Arabia"
2009-12-31;9708.90310654;"Saudi Arabia"
2008-12-31;10664.7944119;"Saudi Arabia"
2007-12-31;10268.7530602;"Saudi Arabia"
2006-12-31;10670.7816992;"Saudi Arabia"
2005-12-31;10838.5813952;"Saudi Arabia"
2004-12-31;10305.9112244;"Saudi Arabia"
2003-12-31;9628.15997635;"Saudi Arabia"
2002-12-31;8206.50031558;"Saudi Arabia"
2001-12-31;8935.03031558;"Saudi Arabia"
2000-12-31;9121.1653325;"Saudi Arabia"
1999-12-31;8523.81035197;"Saudi Arabia"
1998-12-31;9266.78665334;"Saudi Arabia"
1997-12-31;9005.31611888;"Saudi Arabia"
1996-12-31;9086.50302446;"Saudi Arabia"
1995-12-31;8973.53751984;"Saudi Arabia"
1994-12-31;8983;"Saudi Arabia"
1993-12-31;8892.7;"Saudi Arabia"
1992-12-31;9091.7;"Saudi Arabia"
1991-12-31;8819.8;"Saudi Arabia"
1990-12-31;7105.5;"Saudi Arabia"
1989-12-31;5635.5;"Saudi Arabia"
1988-12-31;5656.147;"Saudi Arabia"
1987-12-31;4450.15;"Saudi Arabia"
1986-12-31;5208.2;"Saudi Arabia"
1985-12-31;3600.955;"Saudi Arabia"
1984-12-31;4534.081;"Saudi Arabia"
1983-12-31;4951.41;"Saudi Arabia"
1982-12-31;6961;"Saudi Arabia"
1981-12-31;10256;"Saudi Arabia"
1980-12-31;10269.5;"Saudi Arabia"
1979-12-31;9841.627;"Saudi Arabia"
1978-12-31;8554.082;"Saudi Arabia"
1977-12-31;9418.905;"Saudi Arabia"
1976-12-31;8762.174;"Saudi Arabia"
1975-12-31;7216.4;"Saudi Arabia"
1974-12-31;8617.7;"Saudi Arabia"
1973-12-31;7693.2;"Saudi Arabia"
1972-12-31;6070.3;"Saudi Arabia"
1971-12-31;4820.9;"Saudi Arabia"
1970-12-31;3851.1;"Saudi Arabia"
1969-12-31;3262.2;"Saudi Arabia"
1968-12-31;3080.9;"Saudi Arabia"
1967-12-31;2825;"Saudi Arabia"
1966-12-31;2617.8;"Saudi Arabia"
1965-12-31;2219.3;"Saudi Arabia"
2018-12-31;1878.52774521;"Qatar"
2017-12-31;1873.69182389;"Qatar"
2016-12-31;1938.05471913;"Qatar"
2015-12-31;1932.50861438;"Qatar"
2014-12-31;1974.59734521;"Qatar"
2013-12-31;1990.71287192;"Qatar"
2012-12-31;1927.89945191;"Qatar"
2011-12-31;1824.34883014;"Qatar"
2010-12-31;1630.23814521;"Qatar"
2009-12-31;1415.40700548;"Qatar"
2008-12-31;1432.35833333;"Qatar"
2007-12-31;1262.73684533;"Qatar"
2006-12-31;1237.81738091;"Qatar"
2005-12-31;1147.94651417;"Qatar"
2004-12-31;1078.56156144;"Qatar"
2003-12-31;947.38858637;"Qatar"
2002-12-31;801.655463781;"Qatar"
2001-12-31;855.790973532;"Qatar"
2000-12-31;851.26908413;"Qatar"
1999-12-31;723.27;"Qatar"
1998-12-31;701.43;"Qatar"
1997-12-31;692.08;"Qatar"
1996-12-31;567.998907104;"Qatar"
1995-12-31;460.888767123;"Qatar"
1994-12-31;451.380273973;"Qatar"
1993-12-31;460.250958904;"Qatar"
1992-12-31;495.316939891;"Qatar"
1991-12-31;419.589589041;"Qatar"
1990-12-31;433.81369863;"Qatar"
1989-12-31;403.446575342;"Qatar"
1988-12-31;360.421857923;"Qatar"
1987-12-31;314.856438356;"Qatar"
1986-12-31;355.097534247;"Qatar"
1985-12-31;315.242191781;"Qatar"
1984-12-31;353.016393443;"Qatar"
1983-12-31;315.59890411;"Qatar"
1982-12-31;344.524931507;"Qatar"
1981-12-31;421.109589041;"Qatar"
1980-12-31;475.53442623;"Qatar"
1979-12-31;506;"Qatar"
1978-12-31;484;"Qatar"
1977-12-31;435;"Qatar"
1976-12-31;487;"Qatar"
1975-12-31;437;"Qatar"
1974-12-31;518;"Qatar"
1973-12-31;570;"Qatar"
1972-12-31;482;"Qatar"
1971-12-31;430;"Qatar"
1970-12-31;363;"Qatar"
1969-12-31;356;"Qatar"
1968-12-31;340;"Qatar"
1967-12-31;324;"Qatar"
1966-12-31;291;"Qatar"
1965-12-31;233;"Qatar"
